Ticket_ID,Created_Date,Resolution_Date,Status,Priority,Ticket_Type,Category,Country,Cluster_ID,Cluster_Name,Similarity_Score,Similarity_Level,First_Response_Date,Assigned_Agent,Team,SLA_Status,Reopened,Resolution_Code,Department,Customer_ID,Channel,Description,Tags,Product,Customer_Satisfaction,Escalation_Level,Region,Device_Type,Operating_System,Resolution_Notes
TKT000015,2025-12-23,2025-12-25 21:45:00,In Progress,Low,Problem,Network,Germany,CL003,Software,0.96,High,2025-12-23 02:45:00,Agent_024,L2,Met,Yes,Escalated,Finance,CUST18439,Portal,User reported an issue.,vpn,VPN,2,L1,NA,Mobile,Windows 11,Resolved after troubleshooting.
TKT000016,2025-12-16,2025-12-19 22:34:00,Open,Critical,Problem,Software,Canada,CL002,Software,0.86,High,2025-12-16 02:34:00,Agent_084,L1,Breached,Yes,Fixed,Finance,CUST22586,Email,User reported an issue.,email,ERP,5,L1,APAC,Laptop,Windows 11,Resolved after troubleshooting.
TKT000017,2026-01-17,2026-01-18 03:23:00,Open,Critical,Request,Software,Canada,CL002,Network,0.94,High,2026-01-17 02:23:00,Agent_087,L2,Met,Yes,Escalated,Finance,CUST18446,Email,User reported an issue.,email,ERP,1,L3,NA,Mobile,Ubuntu,Resolved after troubleshooting.
TKT000018,2025-06-04,2025-06-08 18:12:00,Open,Medium,Problem,Software,UK,CL001,Login,0.57,Low,2025-06-04 00:12:00,Agent_099,Security,Breached,Yes,Fixed,HR,CUST84941,Chat,User reported an issue.,network,ERP,2,L3,APAC,Mobile,Windows 11,Resolved after troubleshooting.
TKT000019,2025-10-02,2025-10-04 13:34:00,Open,High,Request,Security,UK,CL001,Network,0.64,Low,2025-10-02 01:34:00,Agent_026,L2,Met,Yes,Escalated,IT,CUST99178,Phone,User reported an issue.,network,VPN,5,L1,NA,Mobile,Ubuntu,Resolved after troubleshooting.
TKT000020,2025-08-27,2025-08-29 15:04:00,Closed,Medium,Request,Network,Germany,CL003,Network,0.8,Medium,2025-08-27 02:04:00,Agent_053,Security,Met,No,Configured,HR,CUST21567,Chat,User reported an issue.,network,VPN,5,L1,NA,Laptop,Ubuntu,Resolved after troubleshooting.
TKT000021,2025-11-11,2025-11-12 04:14:00,In Progress,Critical,Incident,Security,UK,CL003,Login,0.79,Medium,2025-11-11 02:14:00,Agent_049,Security,Met,Yes,Configured,HR,CUST80096,Portal,User reported an issue.,network,Office365,2,L2,EMEA,Mobile,macOS,Resolved after troubleshooting.
TKT000022,2025-05-25,2025-05-26 00:32:00,Closed,Critical,Request,Security,Germany,CL002,Login,0.73,Medium,2025-05-25 00:32:00,Agent_065,Security,Met,Yes,Escalated,Finance,CUST91201,Portal,User reported an issue.,network,ERP,3,L1,APAC,Mobile,macOS,Resolved after troubleshooting.
TKT000023,2025-10-01,2025-10-01 06:23:00,Resolved,Medium,Request,Hardware,Germany,CL002,Network,0.51,Low,2025-10-01 02:23:00,Agent_027,Security,Breached,No,Configured,Finance,CUST34128,Phone,User reported an issue.,vpn,VPN,5,L2,EMEA,Desktop,macOS,Resolved after troubleshooting.
TKT000024,2026-02-17,2026-02-20 02:10:00,Resolved,Critical,Incident,Software,Germany,CL001,Software,0.92,High,2026-02-17 01:10:00,Agent_035,L2,Met,No,Fixed,Finance,CUST24657,Email,User reported an issue.,email,VPN,2,L3,NA,Laptop,Ubuntu,Resolved after troubleshooting.
TKT000025,2026-01-22,2026-01-25 04:07:00,Resolved,Low,Request,Security,India,CL002,Network,0.91,High,2026-01-22 02:07:00,Agent_045,L1,Met,Yes,Configured,HR,CUST80996,Chat,User reported an issue.,email,Office365,3,L3,EMEA,Mobile,macOS,Resolved after troubleshooting.
TKT000026,2025-06-23,2025-06-25 04:11:00,Closed,Low,Problem,Software,UK,CL002,Software,0.52,Low,2025-06-23 02:11:00,Agent_018,L1,Breached,Yes,Escalated,IT,CUST93873,Email,User reported an issue.,network,ERP,2,L1,APAC,Mobile,macOS,Resolved after troubleshooting.
TKT000027,2026-03-02,2026-03-06 16:58:00,Open,High,Problem,Network,Canada,CL003,Network,0.61,Low,2026-03-02 01:58:00,Agent_050,Security,Met,Yes,Escalated,IT,CUST17461,Chat,User reported an issue.,email,Office365,2,L3,EMEA,Mobile,Ubuntu,Resolved after troubleshooting.
TKT000028,2026-05-14,2026-05-18 22:30:00,In Progress,Critical,Problem,Hardware,USA,CL003,Network,0.69,Low,2026-05-14 01:30:00,Agent_001,Security,Breached,Yes,Fixed,HR,CUST25944,Phone,User reported an issue.,vpn,Office365,4,L3,NA,Mobile,macOS,Resolved after troubleshooting.
TKT000029,2025-03-17,2025-03-21 18:33:00,Closed,Critical,Problem,Email,Germany,CL001,Software,0.59,Low,2025-03-17 01:33:00,Agent_024,L2,Breached,Yes,Fixed,IT,CUST31306,Portal,User reported an issue.,network,VPN,2,L1,NA,Desktop,Ubuntu,Resolved after troubleshooting.
TKT000030,2025-09-22,2025-09-26 17:40:00,Closed,High,Request,Email,Germany,CL003,Login,0.6,Low,2025-09-22 00:40:00,Agent_075,L2,Breached,No,Escalated,HR,CUST34386,Chat,User reported an issue.,vpn,VPN,1,L1,APAC,Desktop,macOS,Resolved after troubleshooting.
TKT000031,2025-12-10,2025-12-12 06:07:00,Resolved,Medium,Problem,Software,Germany,CL002,Software,0.81,Medium,2025-12-10 00:07:00,Agent_044,Security,Breached,No,Configured,Finance,CUST16397,Email,User reported an issue.,vpn,ERP,4,L3,NA,Laptop,Ubuntu,Resolved after troubleshooting.
TKT000032,2025-03-03,2025-03-04 05:15:00,Resolved,Critical,Incident,Email,UK,CL003,Login,0.63,Low,2025-03-03 02:15:00,Agent_003,L2,Breached,No,Configured,Finance,CUST24902,Portal,User reported an issue.,vpn,ERP,4,L3,APAC,Laptop,Ubuntu,Resolved after troubleshooting.
TKT000033,2026-01-14,2026-01-15 06:02:00,Closed,Low,Problem,Network,Canada,CL002,Network,0.7,Medium,2026-01-14 02:02:00,Agent_082,L1,Breached,Yes,Fixed,IT,CUST65648,Chat,User reported an issue.,vpn,Office365,3,L1,APAC,Desktop,Ubuntu,Resolved after troubleshooting.
TKT000034,2025-10-23,2025-10-26 17:47:00,Closed,Critical,Request,Email,USA,CL003,Network,0.88,High,2025-10-23 01:47:00,Agent_028,L1,Breached,No,Fixed,HR,CUST31962,Portal,User reported an issue.,network,ERP,2,L1,APAC,Desktop,Ubuntu,Resolved after troubleshooting.
TKT000035,2026-06-24,2026-06-24 08:03:00,Open,Low,Incident,Security,India,CL002,Software,0.71,Medium,2026-06-24 01:03:00,Agent_031,L1,Breached,No,Fixed,Finance,CUST31466,Phone,User reported an issue.,network,VPN,4,L3,APAC,Laptop,macOS,Resolved after troubleshooting.
TKT000036,2026-05-30,2026-06-04 01:20:00,Open,Low,Incident,Email,USA,CL001,Login,0.94,High,2026-05-30 01:20:00,Agent_001,L1,Breached,No,Escalated,HR,CUST96518,Portal,User reported an issue.,vpn,VPN,4,L2,NA,Mobile,macOS,Resolved after troubleshooting.
TKT000037,2025-08-13,2025-08-17 10:11:00,Open,Medium,Incident,Email,Germany,CL001,Network,0.84,Medium,2025-08-13 01:11:00,Agent_018,Security,Met,No,Escalated,Finance,CUST13478,Email,User reported an issue.,email,VPN,1,L1,EMEA,Desktop,Windows 11,Resolved after troubleshooting.
TKT000038,2025-07-15,2025-07-17 05:25:00,Open,Medium,Request,Security,India,CL001,Software,0.88,High,2025-07-15 00:25:00,Agent_081,Security,Met,No,Fixed,IT,CUST34656,Email,User reported an issue.,network,Office365,4,L3,NA,Laptop,macOS,Resolved after troubleshooting.
TKT000039,2026-04-12,2026-04-15 21:28:00,Resolved,Medium,Problem,Hardware,India,CL001,Software,0.93,High,2026-04-12 00:28:00,Agent_055,Security,Breached,No,Escalated,HR,CUST43518,Chat,User reported an issue.,vpn,VPN,4,L3,APAC,Mobile,macOS,Resolved after troubleshooting.
TKT000040,2025-06-24,2025-06-26 00:43:00,Closed,Medium,Incident,Hardware,UK,CL002,Login,0.93,High,2025-06-24 01:43:00,Agent_070,L2,Breached,No,Fixed,HR,CUST42008,Portal,User reported an issue.,vpn,ERP,1,L2,APAC,Desktop,Windows 11,Resolved after troubleshooting.
TKT000041,2025-10-01,2025-10-01 08:07:00,Open,High,Problem,Email,UK,CL001,Login,0.82,Medium,2025-10-01 02:07:00,Agent_037,L1,Breached,Yes,Fixed,Finance,CUST75924,Phone,User reported an issue.,vpn,ERP,2,L2,APAC,Laptop,macOS,Resolved after troubleshooting.
TKT000042,2026-06-12,2026-06-16 23:44:00,Open,High,Request,Network,India,CL002,Login,0.69,Low,2026-06-12 01:44:00,Agent_032,Security,Met,Yes,Fixed,Finance,CUST55654,Chat,User reported an issue.,vpn,VPN,4,L3,EMEA,Desktop,Ubuntu,Resolved after troubleshooting.
TKT000043,2025-02-20,2025-02-22 01:09:00,Resolved,Critical,Incident,Network,UK,CL001,Software,0.96,High,2025-02-20 01:09:00,Agent_064,L1,Breached,No,Fixed,IT,CUST27516,Phone,User reported an issue.,vpn,Office365,4,L3,EMEA,Desktop,macOS,Resolved after troubleshooting.
TKT000044,2026-05-11,2026-05-11 03:06:00,Resolved,High,Problem,Security,India,CL003,Login,0.92,High,2026-05-11 02:06:00,Agent_089,L2,Breached,Yes,Configured,Finance,CUST60555,Chat,User reported an issue.,email,ERP,5,L2,APAC,Laptop,Windows 11,Resolved after troubleshooting.
TKT000045,2025-05-22,2025-05-24 22:33:00,Open,Critical,Incident,Hardware,Canada,CL001,Network,0.52,Low,2025-05-22 00:33:00,Agent_053,L1,Breached,No,Configured,Finance,CUST96048,Email,User reported an issue.,email,VPN,1,L1,EMEA,Desktop,Windows 11,Resolved after troubleshooting.
TKT000046,2025-08-12,2025-08-14 16:08:00,In Progress,Critical,Problem,Software,USA,CL003,Software,0.53,Low,2025-08-12 02:08:00,Agent_066,L1,Met,No,Escalated,HR,CUST86555,Portal,User reported an issue.,vpn,VPN,3,L2,NA,Desktop,Windows 11,Resolved after troubleshooting.
TKT000047,2026-05-18,2026-05-21 05:54:00,Closed,Medium,Request,Email,India,CL003,Network,0.75,Medium,2026-05-18 01:54:00,Agent_095,L1,Breached,Yes,Escalated,Finance,CUST79216,Portal,User reported an issue.,network,ERP,1,L3,NA,Mobile,macOS,Resolved after troubleshooting.
TKT000048,2026-01-14,2026-01-18 20:38:00,Resolved,Low,Problem,Software,India,CL003,Login,0.88,High,2026-01-14 00:38:00,Agent_005,L2,Breached,No,Escalated,IT,CUST34063,Chat,User reported an issue.,email,VPN,5,L2,APAC,Mobile,Ubuntu,Resolved after troubleshooting.
TKT000049,2026-04-05,2026-04-07 15:27:00,Open,High,Request,Software,India,CL001,Network,0.55,Low,2026-04-05 02:27:00,Agent_072,Security,Met,Yes,Fixed,HR,CUST39425,Phone,User reported an issue.,network,Office365,2,L1,APAC,Desktop,Ubuntu,Resolved after troubleshooting.
TKT000050,2025-03-03,2025-03-05 08:06:00,Closed,Low,Problem,Email,USA,CL003,Software,0.93,High,2025-03-03 00:06:00,Agent_069,Security,Met,No,Configured,IT,CUST53912,Portal,User reported an issue.,email,Office365,5,L1,EMEA,Mobile,Ubuntu,Resolved after troubleshooting.
TKT000051,2025-04-24,2025-04-28 09:32:00,Open,Critical,Request,Security,India,CL001,Software,0.72,Medium,2025-04-24 00:32:00,Agent_030,L2,Met,No,Escalated,HR,CUST61453,Chat,User reported an issue.,network,VPN,3,L1,NA,Laptop,macOS,Resolved after troubleshooting.
TKT000052,2025-04-30,2025-05-04 19:07:00,In Progress,Low,Request,Software,UK,CL003,Network,0.6,Low,2025-04-30 00:07:00,Agent_016,Security,Breached,Yes,Configured,HR,CUST82568,Chat,User reported an issue.,email,ERP,1,L3,NA,Desktop,macOS,Resolved after troubleshooting.
TKT000053,2026-03-08,2026-03-09 04:44:00,In Progress,Medium,Incident,Email,Germany,CL003,Software,0.88,High,2026-03-08 01:44:00,Agent_012,L2,Breached,Yes,Configured,Finance,CUST77484,Portal,User reported an issue.,email,Office365,4,L1,EMEA,Desktop,Ubuntu,Resolved after troubleshooting.
TKT000054,2025-02-27,2025-03-03 11:16:00,Open,Medium,Request,Hardware,USA,CL001,Network,0.73,Medium,2025-02-27 00:16:00,Agent_058,L2,Breached,Yes,Escalated,Finance,CUST45440,Phone,User reported an issue.,email,ERP,3,L1,NA,Desktop,Windows 11,Resolved after troubleshooting.
TKT000055,2025-04-01,2025-04-05 01:09:00,Open,High,Request,Network,USA,CL002,Software,0.51,Low,2025-04-01 02:09:00,Agent_040,L1,Met,No,Fixed,Finance,CUST70124,Portal,User reported an issue.,vpn,VPN,2,L1,NA,Desktop,macOS,Resolved after troubleshooting.
TKT000056,2025-05-05,2025-05-08 08:54:00,Resolved,Critical,Incident,Network,Germany,CL001,Login,0.61,Low,2025-05-05 01:54:00,Agent_013,L1,Breached,No,Fixed,IT,CUST41964,Portal,User reported an issue.,vpn,Office365,4,L1,EMEA,Desktop,Ubuntu,Resolved after troubleshooting.
TKT000057,2025-07-04,2025-07-07 18:50:00,Open,Medium,Problem,Email,Germany,CL003,Software,0.78,Medium,2025-07-04 01:50:00,Agent_039,L1,Met,Yes,Fixed,HR,CUST97071,Chat,User reported an issue.,vpn,Office365,3,L2,NA,Laptop,Ubuntu,Resolved after troubleshooting.
TKT000058,2026-02-23,2026-02-25 16:51:00,Resolved,Critical,Incident,Security,Germany,CL003,Software,0.51,Low,2026-02-23 02:51:00,Agent_035,L1,Met,No,Escalated,IT,CUST60007,Phone,User reported an issue.,email,VPN,3,L3,NA,Desktop,Windows 11,Resolved after troubleshooting.
TKT000059,2026-05-12,2026-05-12 14:48:00,Open,Medium,Incident,Software,Canada,CL001,Network,0.76,Medium,2026-05-12 00:48:00,Agent_015,Security,Breached,No,Configured,IT,CUST34219,Portal,User reported an issue.,email,ERP,2,L2,NA,Desktop,Ubuntu,Resolved after troubleshooting.
TKT000060,2026-01-13,2026-01-17 06:31:00,Closed,High,Request,Software,USA,CL002,Login,0.66,Low,2026-01-13 01:31:00,Agent_045,Security,Met,No,Fixed,IT,CUST27886,Chat,User reported an issue.,vpn,ERP,3,L3,NA,Laptop,Ubuntu,Resolved after troubleshooting.
TKT000061,2025-06-08,2025-06-13 00:26:00,Closed,Low,Incident,Network,Canada,CL003,Login,0.92,High,2025-06-08 01:26:00,Agent_009,L2,Breached,No,Fixed,HR,CUST91836,Portal,User reported an issue.,network,ERP,1,L1,APAC,Desktop,Windows 11,Resolved after troubleshooting.
TKT000062,2025-12-18,2025-12-20 18:38:00,Closed,Critical,Request,Network,UK,CL003,Software,0.76,Medium,2025-12-18 02:38:00,Agent_096,L1,Breached,No,Fixed,IT,CUST44416,Portal,User reported an issue.,vpn,ERP,2,L2,EMEA,Mobile,Ubuntu,Resolved after troubleshooting.
TKT000063,2026-03-04,2026-03-08 21:17:00,In Progress,Low,Problem,Software,UK,CL003,Network,0.65,Low,2026-03-04 01:17:00,Agent_046,L2,Met,Yes,Escalated,IT,CUST71192,Portal,User reported an issue.,network,Office365,1,L1,APAC,Laptop,Windows 11,Resolved after troubleshooting.
TKT000064,2026-05-09,2026-05-10 00:52:00,Open,High,Request,Email,India,CL002,Login,0.53,Low,2026-05-09 01:52:00,Agent_090,L2,Met,Yes,Escalated,IT,CUST78349,Chat,User reported an issue.,vpn,ERP,1,L3,EMEA,Laptop,Ubuntu,Resolved after troubleshooting.
TKT000065,2025-04-19,2025-04-19 18:45:00,Resolved,High,Request,Hardware,USA,CL002,Login,0.85,High,2025-04-19 02:45:00,Agent_002,Security,Met,No,Escalated,Finance,CUST26498,Phone,User reported an issue.,network,ERP,3,L1,EMEA,Laptop,macOS,Resolved after troubleshooting.
TKT000066,2026-02-04,2026-02-06 21:04:00,Open,High,Request,Email,Canada,CL003,Login,0.73,Medium,2026-02-04 01:04:00,Agent_049,Security,Breached,Yes,Configured,Finance,CUST87944,Phone,User reported an issue.,network,Office365,4,L1,NA,Desktop,macOS,Resolved after troubleshooting.
TKT000067,2026-03-18,2026-03-19 05:40:00,In Progress,Low,Request,Email,Germany,CL003,Software,0.72,Medium,2026-03-18 00:40:00,Agent_044,Security,Breached,Yes,Configured,IT,CUST54198,Phone,User reported an issue.,vpn,ERP,1,L1,NA,Desktop,Windows 11,Resolved after troubleshooting.
TKT000068,2026-04-03,2026-04-05 19:28:00,Resolved,Medium,Request,Network,UK,CL002,Software,0.57,Low,2026-04-03 00:28:00,Agent_060,Security,Met,No,Configured,HR,CUST88044,Portal,User reported an issue.,network,Office365,2,L3,EMEA,Desktop,macOS,Resolved after troubleshooting.
TKT000069,2026-02-27,2026-02-27 22:46:00,Closed,Medium,Problem,Security,Canada,CL001,Software,0.89,High,2026-02-27 02:46:00,Agent_032,L1,Met,Yes,Escalated,HR,CUST82485,Chat,User reported an issue.,network,ERP,5,L2,EMEA,Laptop,Windows 11,Resolved after troubleshooting.
TKT000070,2026-06-03,2026-06-04 22:26:00,Open,Low,Request,Email,Germany,CL001,Software,0.57,Low,2026-06-03 01:26:00,Agent_061,Security,Met,Yes,Configured,HR,CUST47803,Phone,User reported an issue.,vpn,VPN,3,L1,NA,Mobile,Windows 11,Resolved after troubleshooting.
TKT000071,2026-06-19,2026-06-22 22:10:00,Resolved,Critical,Problem,Software,Canada,CL002,Login,0.96,High,2026-06-19 00:10:00,Agent_002,Security,Breached,No,Configured,Finance,CUST99769,Email,User reported an issue.,vpn,Office365,3,L1,NA,Desktop,macOS,Resolved after troubleshooting.
TKT000072,2025-08-24,2025-08-24 18:17:00,Open,High,Request,Email,USA,CL003,Network,0.67,Low,2025-08-24 01:17:00,Agent_015,L1,Breached,Yes,Escalated,IT,CUST99142,Portal,User reported an issue.,vpn,Office365,2,L3,NA,Laptop,Windows 11,Resolved after troubleshooting.
TKT000073,2025-08-17,2025-08-17 04:14:00,Open,Medium,Problem,Security,UK,CL002,Software,0.81,Medium,2025-08-17 00:14:00,Agent_043,L2,Breached,No,Configured,HR,CUST12184,Phone,User reported an issue.,vpn,Office365,2,L2,EMEA,Desktop,Windows 11,Resolved after troubleshooting.
TKT000074,2025-02-02,2025-02-04 13:16:00,In Progress,Critical,Problem,Security,Canada,CL002,Login,0.81,Medium,2025-02-02 01:16:00,Agent_048,L1,Met,No,Configured,IT,CUST40676,Email,User reported an issue.,vpn,ERP,2,L3,APAC,Mobile,Windows 11,Resolved after troubleshooting.
TKT000075,2026-02-22,2026-02-26 20:06:00,In Progress,Critical,Problem,Hardware,Germany,CL001,Login,0.9,High,2026-02-22 01:06:00,Agent_041,L2,Breached,No,Escalated,Finance,CUST55066,Email,User reported an issue.,network,Office365,2,L2,NA,Desktop,macOS,Resolved after troubleshooting.
TKT000076,2026-04-20,2026-04-24 21:05:00,Open,Medium,Problem,Software,UK,CL003,Login,0.97,High,2026-04-20 01:05:00,Agent_072,L2,Met,No,Configured,Finance,CUST94062,Portal,User reported an issue.,network,Office365,4,L1,EMEA,Desktop,Windows 11,Resolved after troubleshooting.
TKT000077,2025-08-10,2025-08-10 14:17:00,Open,Medium,Incident,Software,Canada,CL003,Network,0.56,Low,2025-08-10 02:17:00,Agent_089,Security,Breached,No,Fixed,IT,CUST97168,Email,User reported an issue.,vpn,ERP,3,L1,NA,Laptop,Ubuntu,Resolved after troubleshooting.
TKT000078,2025-05-20,2025-05-24 06:22:00,In Progress,High,Problem,Security,USA,CL002,Software,0.53,Low,2025-05-20 01:22:00,Agent_082,Security,Breached,No,Fixed,IT,CUST41535,Chat,User reported an issue.,vpn,Office365,3,L1,NA,Desktop,macOS,Resolved after troubleshooting.
TKT000079,2026-06-15,2026-06-17 05:30:00,Closed,Medium,Problem,Software,UK,CL003,Software,0.72,Medium,2026-06-15 02:30:00,Agent_014,Security,Met,Yes,Configured,IT,CUST79527,Portal,User reported an issue.,email,Office365,3,L3,NA,Mobile,macOS,Resolved after troubleshooting.
TKT000080,2025-08-12,2025-08-14 04:28:00,Open,Medium,Request,Hardware,USA,CL001,Software,0.88,High,2025-08-12 01:28:00,Agent_045,L2,Breached,No,Fixed,IT,CUST88103,Portal,User reported an issue.,email,VPN,1,L3,NA,Mobile,Windows 11,Resolved after troubleshooting.
TKT000081,2025-08-05,2025-08-06 09:28:00,Closed,Low,Request,Network,Canada,CL001,Software,0.51,Low,2025-08-05 00:28:00,Agent_047,L1,Breached,Yes,Escalated,IT,CUST94431,Portal,User reported an issue.,email,Office365,3,L1,NA,Mobile,macOS,Resolved after troubleshooting.
TKT000082,2025-11-25,2025-11-27 05:24:00,Open,Critical,Incident,Email,USA,CL001,Login,0.73,Medium,2025-11-25 01:24:00,Agent_021,L2,Met,Yes,Configured,HR,CUST71019,Chat,User reported an issue.,vpn,ERP,3,L3,EMEA,Desktop,macOS,Resolved after troubleshooting.
TKT000083,2025-07-07,2025-07-11 23:05:00,Open,Critical,Incident,Software,Canada,CL003,Network,0.98,High,2025-07-07 00:05:00,Agent_036,L1,Met,Yes,Escalated,HR,CUST23491,Phone,User reported an issue.,network,VPN,1,L2,APAC,Desktop,Ubuntu,Resolved after troubleshooting.
TKT000084,2025-02-26,2025-03-01 06:03:00,Resolved,Critical,Problem,Software,Canada,CL002,Network,0.83,Medium,2025-02-26 01:03:00,Agent_075,L2,Breached,No,Fixed,IT,CUST64153,Portal,User reported an issue.,network,Office365,5,L1,APAC,Laptop,macOS,Resolved after troubleshooting.
TKT000085,2026-03-08,2026-03-08 15:09:00,In Progress,Critical,Problem,Software,India,CL003,Network,0.88,High,2026-03-08 00:09:00,Agent_080,L1,Breached,No,Fixed,Finance,CUST42924,Chat,User reported an issue.,email,Office365,1,L3,NA,Mobile,macOS,Resolved after troubleshooting.
TKT000086,2025-10-31,2025-11-04 13:15:00,Resolved,Low,Request,Hardware,USA,CL003,Login,0.79,Medium,2025-10-31 01:15:00,Agent_075,L1,Breached,No,Fixed,IT,CUST95145,Phone,User reported an issue.,email,ERP,1,L1,NA,Laptop,Ubuntu,Resolved after troubleshooting.
TKT000087,2025-09-30,2025-10-03 06:28:00,Open,Low,Problem,Security,Canada,CL001,Network,0.54,Low,2025-09-30 01:28:00,Agent_053,L1,Met,No,Escalated,HR,CUST95846,Portal,User reported an issue.,network,VPN,4,L2,EMEA,Mobile,Ubuntu,Resolved after troubleshooting.
TKT000088,2025-03-27,2025-03-29 15:31:00,In Progress,High,Incident,Hardware,Germany,CL001,Network,0.84,Medium,2025-03-27 02:31:00,Agent_061,L1,Breached,No,Configured,IT,CUST27410,Chat,User reported an issue.,network,Office365,5,L3,APAC,Laptop,macOS,Resolved after troubleshooting.
TKT000089,2025-09-18,2025-09-22 21:19:00,In Progress,Medium,Problem,Network,Canada,CL002,Login,0.8,Medium,2025-09-18 02:19:00,Agent_008,Security,Met,Yes,Fixed,HR,CUST92273,Chat,User reported an issue.,vpn,VPN,1,L3,NA,Mobile,Windows 11,Resolved after troubleshooting.
TKT000090,2025-04-28,2025-05-01 07:18:00,Open,Medium,Problem,Software,Germany,CL003,Login,0.95,High,2025-04-28 01:18:00,Agent_041,L2,Breached,Yes,Fixed,IT,CUST59854,Email,User reported an issue.,network,ERP,3,L1,EMEA,Mobile,macOS,Resolved after troubleshooting.
