Ticket_ID,Created_Date,Resolution_Date,Status,Priority,Ticket_Type,Category,Country,Region,Latitude,Longitude,Cluster_ID,Cluster_Name,Similarity_Score,Similarity_Level,First_Response_Date,Assigned_Agent,Team,SLA_Status,Reopened,Resolution_Code,Department,Customer_ID,Channel,Description,Tags,Product,Customer_Satisfaction,Escalation_Level,Device_Type,Operating_System,Resolution_Notes,Resolution_Duration,Priority_Score,First_Response_Time,Queue
TCK-00018,2025-09-11 04:22:00,2025-09-21 23:39:16,Closed,Low,Incident,Integration,Philippines,APAC,11.2567,119.3558,10,Data Sync / Integration Delays,0.806,High,2025-09-11 06:53:06,Agent_005,Cloud Ops,Breached,No,Workaround Applied,Sales,CUST-4730,Email,User reported failure syncing data between Internal Wiki and third-party API.,"firewall, cloud, data-loss",Internal Wiki,,0,Tablet,iOS,Issue resolved via workaround applied.,10.0,1,2.5183333333333335,Database Support
TCK-00019,2025-02-02 00:50:00,2025-02-03 04:50:21,Resolved,Critical,Problem,Performance,India,APAC,22.0947,79.8458,7,Performance Degradation,0.833,High,2025-02-02 01:05:36,Agent_035,Infrastructure Team,Breached,Yes,User Error,IT,CUST-4373,Email,User reported significant slowdown while using Email Gateway.,"third-party, cloud, on-prem",Email Gateway,,0,Server,Windows Server,Issue resolved via user error.,1.0,4,0.26,Service Desk
TCK-00020,2025-04-24 12:10:00,2025-04-28 03:07:22,Closed,Medium,Request,Integration,UK,EMEA,56.2881,-4.2369,3,API Integration Errors,0.796,High,2025-04-24 13:35:31,Agent_016,App Support,Within SLA,No,Fixed,IT,CUST-3504,Email,User reported failure syncing data between HR Self-Service and third-party API.,on-prem,HR Self-Service,,0,Laptop,Linux,Issue resolved via fixed.,3.0,2,1.4252777777777779,Security Operations
TCK-00021,2025-08-05 02:40:00,2025-08-07 16:18:24,Resolved,High,Incident,Integration,China,APAC,37.6521,103.845,10,Data Sync / Integration Delays,0.892,High,2025-08-05 02:55:28,Agent_038,App Support,Breached,No,Fixed,IT,CUST-5171,Email,User reported failure syncing data between ERP Suite and third-party API.,"vip-customer, recurring, timeout",ERP Suite,,3,Laptop,Windows,Issue resolved via fixed.,2.0,3,0.2577777777777778,Security Operations
TCK-00022,2025-05-31 15:56:00,2025-06-02 01:20:23,Closed,Critical,Request,Security,India,APAC,20.3322,77.9261,4,Security Vulnerabilities,0.763,High,2025-05-31 18:47:07,Agent_033,Security Team,Breached,No,Duplicate,IT,CUST-1732,Email,Potential security concern flagged involving Internal Wiki access logs.,"mobile, password-reset, on-prem",Internal Wiki,,0,Desktop,Windows,Issue resolved via duplicate.,1.0,4,2.8519444444444444,Security Operations
TCK-00023,2025-12-05 07:47:00,2025-12-09 15:05:21,Closed,Medium,Incident,Performance,Germany,EMEA,53.1295,8.683,7,Performance Degradation,0.869,High,2025-12-05 10:30:42,Agent_013,Cloud Ops,Breached,No,Fixed,HR,CUST-3214,Phone,User reported significant slowdown while using Billing System.,"data-loss, third-party, recurring",Billing System,,2,Mobile,Android,Issue resolved via fixed.,4.0,2,2.7283333333333335,Service Desk
TCK-00024,2025-12-14 16:24:00,2025-12-20 02:07:56,Closed,Medium,Incident,Integration,Germany,EMEA,51.5274,11.6549,10,Data Sync / Integration Delays,0.894,High,2025-12-14 16:32:56,Agent_004,App Support,Breached,No,User Error,Legal,CUST-2852,Walk-in,User reported failure syncing data between HR Self-Service and third-party API.,outage,HR Self-Service,,1,Laptop,Windows,Issue resolved via user error.,5.0,2,0.14888888888888888,Database Support
TCK-00025,2025-05-24 22:56:00,2025-05-28 09:19:02,Resolved,Medium,Request,Performance,India,APAC,20.3627,79.5978,7,Performance Degradation,0.783,High,2025-05-25 03:11:48,Agent_035,Infrastructure Team,Within SLA,Yes,Workaround Applied,Procurement,CUST-1539,Phone,User reported significant slowdown while using Billing System.,"third-party, password-reset, vip-customer",Billing System,,3,Desktop,Linux,Issue resolved via workaround applied.,3.0,2,4.263333333333334,Infrastructure Support
TCK-00026,2025-11-08 17:58:00,,Open,High,Request,Network,UK,EMEA,56.949,-2.5163,2,Network Connectivity Issues,0.504,Medium,2025-11-08 20:33:43,Agent_036,Infrastructure Team,Breached,No,Pending,HR,CUST-5948,Walk-in,Connectivity issue reported affecting access to CRM Portal.,vip-customer,CRM Portal,0,1,Tablet,iOS,No Resolution Yet,,3,2.5952777777777776,Database Support
TCK-00027,2025-02-22 04:09:00,2025-02-23 02:54:09,Closed,Critical,Problem,Integration,Japan,APAC,36.0435,137.8241,3,API Integration Errors,0.64,Medium,2025-02-22 04:19:08,Agent_011,App Support,Breached,No,No Fix Needed,Legal,CUST-1716,Walk-in,User reported failure syncing data between Internal Wiki and third-party API.,"recurring, migration, config-error",Internal Wiki,,0,Desktop,Linux,Issue resolved via no fix needed.,0.0,4,0.1688888888888889,Infrastructure Support
TCK-00028,2025-02-23 11:04:00,2025-02-28 01:28:28,Closed,Low,Request,Performance,South Africa,EMEA,-29.1984,23.0408,12,Slow Response Times,0.95,High,2025-02-24 00:14:47,Agent_025,Infrastructure Team,Within SLA,No,No Fix Needed,Operations,CUST-5859,Chat,User reported significant slowdown while using Email Gateway.,"upgrade, outage",Email Gateway,,0,Server,Windows Server,Issue resolved via no fix needed.,4.0,1,13.179722222222223,Hardware Support
TCK-00029,2025-02-20 16:04:00,2025-02-22 12:51:59,Closed,Medium,Incident,Security,Singapore,APAC,0.5913,103.8899,11,Suspicious Login Attempts,0.99,High,2025-02-20 22:01:35,Agent_014,Security Team,Within SLA,No,Cannot Reproduce,Finance,CUST-5164,Email,Potential security concern flagged involving Mobile App access logs.,"timeout, recurring, cloud",Mobile App,,0,Laptop,Linux,Issue resolved via cannot reproduce.,1.0,2,5.959722222222222,Security Operations
TCK-00030,2025-12-26 03:55:00,2026-01-04 05:00:00,Closed,Low,Incident,Database,USA,AMER,35.3495,-97.5159,8,Database Query Failures,0.783,High,2025-12-26 17:48:54,Agent_033,Database Team,Breached,No,Fixed,Sales,CUST-5777,Phone,Query timeout / failure reported when Mobile App accessed backend database.,vip-customer,Mobile App,,0,Laptop,Windows,Issue resolved via fixed.,9.0,1,13.898333333333333,Security Operations
TCK-00031,2025-08-02 14:55:00,2025-08-04 22:51:08,Resolved,Medium,Incident,Security,Singapore,APAC,-0.5063,102.9705,4,Security Vulnerabilities,0.667,Medium,2025-08-02 16:18:48,Agent_016,Security Team,Within SLA,No,Fixed,Legal,CUST-5720,Chat,Potential security concern flagged involving API Gateway access logs.,"vip-customer, data-loss",API Gateway,,2,Desktop,Windows,Issue resolved via fixed.,2.0,2,1.3966666666666667,Infrastructure Support
TCK-00032,2025-01-07 02:46:00,2025-01-11 20:16:30,Resolved,Medium,Incident,Integration,France,EMEA,47.4674,-0.1066,3,API Integration Errors,0.665,Medium,2025-01-07 04:53:27,Agent_017,Cloud Ops,Breached,No,User Error,IT,CUST-5580,Email,User reported failure syncing data between HR Self-Service and third-party API.,config-error,HR Self-Service,,0,Desktop,Linux,Issue resolved via user error.,4.0,2,2.1241666666666665,Infrastructure Support
TCK-00033,2025-04-21 03:46:00,2025-05-04 03:47:12,Closed,Low,Incident,Software,USA,AMER,39.0426,-95.242,9,Software Installation Issues,0.819,High,2025-04-21 10:30:57,Agent_020,App Support,Breached,No,Duplicate,Procurement,CUST-3660,Phone,Installation or update issue reported for ERP Suite.,new-user,ERP Suite,,0,Laptop,macOS,Issue resolved via duplicate.,13.0,1,6.7491666666666665,Security Operations
TCK-00034,2025-12-16 10:29:00,2025-12-20 05:34:00,Resolved,Medium,Problem,Hardware,USA,AMER,35.7167,-96.3832,6,Hardware Malfunctions,0.883,High,2025-12-16 12:36:44,Agent_035,Infrastructure Team,Within SLA,Yes,Cannot Reproduce,IT,CUST-1003,Walk-in,Hardware fault reported on desktop impacting Email Gateway usage.,"vip-customer, password-reset",Email Gateway,,3,Desktop,Linux,Issue resolved via cannot reproduce.,3.0,2,2.128888888888889,Infrastructure Support
TCK-00035,2025-04-28 03:18:00,2025-05-06 10:19:47,Closed,Low,Request,Integration,China,APAC,36.1438,104.5581,3,API Integration Errors,0.587,Medium,2025-04-28 13:13:37,Agent_019,Cloud Ops,Within SLA,No,No Fix Needed,Sales,CUST-2573,Portal,User reported failure syncing data between Mobile App and third-party API.,on-prem,Mobile App,,0,Mobile,iOS,Issue resolved via no fix needed.,8.0,1,9.926944444444445,Database Support
TCK-00036,2025-03-25 00:36:00,2025-04-05 19:06:25,Closed,Medium,Request,Software,UAE,EMEA,23.6646,52.3587,9,Software Installation Issues,0.723,Medium,2025-03-25 06:10:52,Agent_007,Helpdesk,Breached,No,Duplicate,Sales,CUST-2908,Phone,Installation or update issue reported for ERP Suite.,"on-prem, upgrade, firewall",ERP Suite,,2,Laptop,Linux,Issue resolved via duplicate.,11.0,2,5.581111111111111,Access Management
TCK-00037,2025-08-01 04:04:00,2025-08-06 02:09:49,Closed,Low,Request,Security,India,APAC,22.2991,77.1589,11,Suspicious Login Attempts,0.841,High,2025-08-01 07:12:26,Agent_039,Security Team,Within SLA,No,User Error,IT,CUST-3449,Portal,Potential security concern flagged involving HR Self-Service access logs.,"cloud, mobile",HR Self-Service,,0,Desktop,Linux,Issue resolved via user error.,4.0,1,3.1405555555555558,Hardware Support
TCK-00038,2025-11-05 07:39:00,2025-11-07 16:00:24,Resolved,Medium,Incident,Performance,India,APAC,19.8668,78.4174,7,Performance Degradation,0.679,Medium,2025-11-05 08:20:59,Agent_004,Cloud Ops,Within SLA,No,User Error,HR,CUST-3035,Portal,User reported significant slowdown while using Billing System.,urgent,Billing System,,0,Mobile,iOS,Issue resolved via user error.,2.0,2,0.6997222222222222,Hardware Support
TCK-00039,2025-12-19 21:37:00,2025-12-27 05:45:09,Closed,Low,Incident,Performance,Brazil,AMER,-13.0203,-54.2623,7,Performance Degradation,0.798,High,2025-12-20 05:07:35,Agent_009,Cloud Ops,Within SLA,No,Workaround Applied,Operations,CUST-4719,Portal,User reported significant slowdown while using Internal Wiki.,"data-loss, urgent, new-user",Internal Wiki,,1,Tablet,Windows,Issue resolved via workaround applied.,7.0,1,7.509722222222222,Security Operations
TCK-00040,2025-12-26 05:05:00,2025-12-28 13:16:25,Closed,Medium,Request,Access Management,India,APAC,21.0851,80.594,14,Permission / Role Errors,0.896,High,2025-12-26 08:00:11,Agent_010,Security Team,Within SLA,No,Duplicate,Finance,CUST-2639,Portal,User unable to access API Gateway due to permission/role issue.,data-loss,API Gateway,,2,Tablet,iOS,Issue resolved via duplicate.,2.0,2,2.919722222222222,Hardware Support
TCK-00041,2025-08-02 10:22:00,2025-08-03 09:45:35,Resolved,Critical,Request,Bug,USA,AMER,37.4714,-95.1764,5,Application Crashes / Bugs,0.715,Medium,2025-08-02 10:34:11,Agent_003,App Support,Breached,No,Duplicate,Operations,CUST-4072,Chat,Application error / unexpected behavior encountered while using CRM Portal.,password-reset,CRM Portal,,0,Mobile,iOS,Issue resolved via duplicate.,0.0,4,0.20305555555555554,Service Desk
TCK-00042,2025-03-31 10:37:00,2025-04-01 09:54:58,Resolved,High,Incident,Bug,Australia,APAC,-24.7514,131.8513,5,Application Crashes / Bugs,0.742,Medium,2025-03-31 11:37:12,Agent_023,App Support,Within SLA,No,Cannot Reproduce,Legal,CUST-5759,Email,Application error / unexpected behavior encountered while using Cloud Storage.,migration,Cloud Storage,,0,Desktop,Windows,Issue resolved via cannot reproduce.,0.0,3,1.0033333333333334,Hardware Support
TCK-00043,2025-03-04 07:48:00,2025-03-04 20:28:00,Resolved,Critical,Incident,Software,India,APAC,21.2513,76.5255,9,Software Installation Issues,0.798,High,2025-03-04 08:10:41,Agent_002,Helpdesk,Within SLA,No,User Error,Sales,CUST-4389,Portal,Installation or update issue reported for HR Self-Service.,"firewall, migration",HR Self-Service,,0,Server,Linux,Issue resolved via user error.,0.0,4,0.37805555555555553,Network Support
TCK-00044,2025-05-12 00:07:00,2025-05-12 22:15:20,Resolved,High,Request,Integration,UAE,EMEA,23.3254,53.8351,10,Data Sync / Integration Delays,0.761,High,2025-05-12 00:28:16,Agent_025,App Support,Within SLA,Yes,No Fix Needed,Finance,CUST-4079,Portal,User reported failure syncing data between VPN Client and third-party API.,"license, latency, password-reset",VPN Client,,0,Desktop,Linux,Issue resolved via no fix needed.,0.0,3,0.35444444444444445,Service Desk
TCK-00045,2025-04-06 23:13:00,2025-04-08 14:35:57,Closed,High,Incident,Software,USA,AMER,38.5896,-97.3173,9,Software Installation Issues,0.792,High,2025-04-07 03:39:04,Agent_002,App Support,Within SLA,No,No Fix Needed,IT,CUST-1822,Email,Installation or update issue reported for HR Self-Service.,"firewall, license",HR Self-Service,,0,Mobile,iOS,Issue resolved via no fix needed.,1.0,3,4.434444444444445,Service Desk
TCK-00046,2025-01-20 04:36:00,2025-01-21 22:26:53,Closed,Critical,Request,Access Management,UK,EMEA,57.0055,-4.1247,1,Login & Access Failures,0.48,Medium,2025-01-20 05:25:16,Agent_035,Helpdesk,Breached,No,Fixed,Marketing,CUST-3761,Email,User unable to access ERP Suite due to permission/role issue.,"firewall, recurring, new-user",ERP Suite,,3,Mobile,iOS,Issue resolved via fixed.,1.0,4,0.8211111111111111,Network Support
TCK-00047,2025-08-23 13:03:00,2025-08-25 00:44:40,Closed,High,Incident,Database,USA,AMER,35.9334,-95.5018,8,Database Query Failures,0.74,Medium,2025-08-23 14:52:26,Agent_023,Database Team,Within SLA,No,No Fix Needed,Marketing,CUST-3175,Chat,Query timeout / failure reported when API Gateway accessed backend database.,config-error,API Gateway,,0,Tablet,iOS,Issue resolved via no fix needed.,1.0,3,1.823888888888889,Database Support
TCK-00048,2025-08-07 07:33:00,2025-08-15 19:48:40,Closed,Medium,Request,Integration,USA,AMER,35.2901,-96.8916,3,API Integration Errors,0.684,Medium,2025-08-07 09:34:56,Agent_017,App Support,Breached,No,User Error,Finance,CUST-5225,Portal,User reported failure syncing data between Billing System and third-party API.,"on-prem, outage, license",Billing System,,1,Laptop,Linux,Issue resolved via user error.,8.0,2,2.0322222222222224,Security Operations
TCK-00049,2025-11-06 01:54:00,2025-11-19 05:02:37,Closed,Low,Request,Network,USA,AMER,38.7754,-96.024,13,Server Downtime,0.99,High,2025-11-06 03:56:09,Agent_005,Infrastructure Team,Breached,No,Cannot Reproduce,Marketing,CUST-2762,Email,Connectivity issue reported affecting access to HR Self-Service.,latency,HR Self-Service,,0,Laptop,Linux,Issue resolved via cannot reproduce.,13.0,1,2.035833333333333,Infrastructure Support
TCK-00050,2025-05-11 17:36:00,2025-05-21 23:02:07,Closed,Low,Request,Integration,France,EMEA,47.172,1.8841,3,API Integration Errors,0.556,Medium,2025-05-11 23:35:36,Agent_027,Cloud Ops,Breached,No,No Fix Needed,Marketing,CUST-4663,Email,User reported failure syncing data between Email Gateway and third-party API.,outage,Email Gateway,,1,Tablet,iOS,Issue resolved via no fix needed.,10.0,1,5.993333333333333,Application Support
TCK-00051,2025-01-26 14:31:00,2025-01-28 13:50:35,Resolved,High,Request,Database,India,APAC,22.9929,80.9768,8,Database Query Failures,0.767,High,2025-01-26 15:52:31,Agent_025,Database Team,Breached,No,Cannot Reproduce,Sales,CUST-4853,Chat,Query timeout / failure reported when API Gateway accessed backend database.,"on-prem, urgent, latency",API Gateway,,0,Mobile,Android,Issue resolved via cannot reproduce.,1.0,3,1.3586111111111112,Security Operations
TCK-00052,2025-09-30 13:30:00,2025-10-02 00:48:54,Closed,Critical,Request,Performance,Singapore,APAC,3.0727,102.9155,12,Slow Response Times,0.959,High,2025-09-30 13:53:26,Agent_014,Cloud Ops,Breached,No,Cannot Reproduce,Legal,CUST-1038,Phone,User reported significant slowdown while using API Gateway.,third-party,API Gateway,,0,Mobile,Android,Issue resolved via cannot reproduce.,1.0,4,0.39055555555555554,Hardware Support
TCK-00053,2025-09-08 22:12:00,2025-09-10 18:08:25,Closed,High,Request,Bug,South Africa,EMEA,-30.9259,24.8233,5,Application Crashes / Bugs,0.72,Medium,2025-09-09 07:34:23,Agent_014,App Support,Within SLA,No,User Error,Procurement,CUST-3032,Phone,Application error / unexpected behavior encountered while using Cloud Storage.,"cloud, timeout, vip-customer",Cloud Storage,,2,Laptop,macOS,Issue resolved via user error.,1.0,3,9.373055555555556,Database Support
TCK-00054,2025-05-22 23:29:00,2025-05-27 15:59:09,Closed,Medium,Incident,Access Management,UK,EMEA,55.4926,-2.2786,1,Login & Access Failures,0.551,Medium,2025-05-22 23:46:04,Agent_020,Security Team,Breached,No,Workaround Applied,IT,CUST-1963,Email,User unable to access Cloud Storage due to permission/role issue.,password-reset,Cloud Storage,,2,Laptop,Windows,Issue resolved via workaround applied.,4.0,2,0.28444444444444444,Service Desk
TCK-00055,2025-12-15 21:52:00,2025-12-20 06:59:30,Resolved,Low,Request,Network,Philippines,APAC,14.801,122.274,13,Server Downtime,0.928,High,2025-12-16 01:50:38,Agent_040,Infrastructure Team,Within SLA,No,No Fix Needed,HR,CUST-3553,Email,Connectivity issue reported affecting access to Billing System.,config-error,Billing System,,3,Tablet,iOS,Issue resolved via no fix needed.,4.0,1,3.977222222222222,Security Operations
TCK-00056,2025-05-25 23:02:00,2025-05-28 17:39:13,Closed,Medium,Request,Hardware,South Africa,EMEA,-31.7588,23.0162,6,Hardware Malfunctions,0.717,Medium,2025-05-26 02:36:14,Agent_026,Helpdesk,Within SLA,No,Workaround Applied,IT,CUST-2640,Email,Hardware fault reported on laptop impacting CRM Portal usage.,password-reset,CRM Portal,,0,Laptop,macOS,Issue resolved via workaround applied.,2.0,2,3.5705555555555555,Hardware Support
TCK-00057,2025-02-07 07:58:00,2025-02-08 13:22:36,Resolved,High,Change,Performance,Singapore,APAC,2.8976,104.5962,7,Performance Degradation,0.746,Medium,2025-02-07 08:26:22,Agent_034,Infrastructure Team,Within SLA,No,Fixed,Procurement,CUST-5036,Portal,User reported significant slowdown while using Mobile App.,"third-party, upgrade",Mobile App,,0,Desktop,Windows,Issue resolved via fixed.,1.0,3,0.4727777777777778,Infrastructure Support
TCK-00058,2025-02-28 15:40:00,2025-03-02 16:53:15,Closed,Medium,Problem,Integration,India,APAC,20.6963,80.8008,3,API Integration Errors,0.643,Medium,2025-02-28 16:36:20,Agent_034,Cloud Ops,Within SLA,No,No Fix Needed,Marketing,CUST-1556,Chat,User reported failure syncing data between API Gateway and third-party API.,"on-prem, third-party, migration",API Gateway,,0,Tablet,Android,Issue resolved via no fix needed.,2.0,2,0.9388888888888889,Database Support
TCK-00059,2025-08-12 12:45:00,2025-08-22 03:30:50,Resolved,Low,Problem,Performance,Brazil,AMER,-12.1965,-54.4244,7,Performance Degradation,0.695,Medium,2025-08-12 16:37:54,Agent_029,Cloud Ops,Breached,No,Workaround Applied,Operations,CUST-5770,Email,User reported significant slowdown while using Email Gateway.,"password-reset, firewall, third-party",Email Gateway,,0,Tablet,Android,Issue resolved via workaround applied.,9.0,1,3.881666666666667,Access Management
TCK-00060,2025-01-17 11:21:00,,In Progress,Critical,Incident,Security,China,APAC,36.7994,102.0392,4,Security Vulnerabilities,0.651,Medium,2025-01-17 13:45:36,Agent_019,Security Team,Breached,No,Pending,IT,CUST-5811,Portal,Potential security concern flagged involving Email Gateway access logs.,"on-prem, vip-customer, upgrade",Email Gateway,0,1,Mobile,Android,No Resolution Yet,,4,2.41,Database Support
TCK-00061,2025-02-27 22:25:00,2025-03-03 10:07:01,Closed,Medium,Incident,Security,USA,AMER,38.6976,-96.3508,11,Suspicious Login Attempts,0.99,High,2025-02-28 01:30:41,Agent_015,Security Team,Within SLA,No,User Error,Legal,CUST-2098,Chat,Potential security concern flagged involving Cloud Storage access logs.,"data-loss, on-prem",Cloud Storage,,0,Desktop,Windows,Issue resolved via user error.,3.0,2,3.0947222222222224,Service Desk
